Ref,Val,Package,PosX,PosY,Rot,Side,x_mm,y_mm,w_mm,h_mm
AD0,6x1F-H8.5,1X06,57.15,2.54,0.0,top,57.15,2.54,14.1224,2.1336
C1,100n,C0603-ROUND,18.415,15.367,-90.0,top,18.415,15.367,1.1,2.6764
C10,100n,C0603-ROUND,44.323,10.541,180.0,top,44.323,10.541,2.6764,1.1
C11,22p,C0603-ROUND,22.225,29.591,0.0,top,22.225,29.591,2.6764,1.1
C2,100n,C0603-ROUND,12.065,29.845,180.0,top,12.065,29.845,2.6764,1.1
C3,1u,C0603-ROUND,25.527,15.367,90.0,top,25.527,15.367,1.1,2.6764
C4,100n,C0603-ROUND,27.94,44.45,180.0,top,27.94,44.45,2.6764,1.1
C5,100n,C0603-ROUND,27.94,29.845,0.0,top,27.94,29.845,2.6764,1.1
C6,100n,C0603-ROUND,45.72,22.86,0.0,top,45.72,22.86,2.6764,1.1
C7,100n,C0603-ROUND,27.94,31.496,0.0,top,27.94,31.496,2.6764,1.1
C8,1u,C0603-ROUND,12.7,41.91,180.0,top,12.7,41.91,2.6764,1.1
C9,22p,C0603-ROUND,16.002,29.591,180.0,top,16.002,29.591,2.6764,1.1
D1,M7,SMB,21.59,2.794,180.0,top,21.59,2.794,6.8,2.4
D2,CD1206-S01575,MINIMELF,59.436,27.94,-90.0,top,59.436,27.94,1.8,4.8
D3,CD1206-S01575,MINIMELF,13.081,46.228,90.0,top,13.081,46.228,1.8,4.8
F1,MF-MSMF050-2 500mA,L1812,4.064,26.543,90.0,top,4.064,26.543,3.4,5.8
FD1,FIDUCIALMOUNT,FIDUCIA-MOUNT,6.35,49.911,0.0,top,6.35,49.911,1.016,1.016
FD2,FIDUCIALMOUNT,FIDUCIA-MOUNT,53.84,16.741,0.0,top,53.84,16.741,1.016,1.016
FD3,FIDUCIALMOUNT,FIDUCIA-MOUNT,3.73,3.41,0.0,top,3.73,3.41,1.016,1.016
FRAME1,DNP,FRAME,0.0,-0.0,0.0,top,0.0,-0.0,165.4211,47.29
GND_TP0,TP_SP,TP-SP,43.18,2.54,0.0,top,43.18,2.54,0.8,0.8
GND_TP1,TP_SP,TP-SP,26.416,50.8,0.0,top,26.416,50.8,0.8,0.8
GROUND0,,SJ,11.43,40.64,180.0,bottom,11.43,40.64,2.6924,1.6002
ICSP0,3x2 M,2X03,64.897,27.94,-90.0,top,64.897,27.94,4.09,6.63
ICSP1,3x2 M,2X03,18.288,46.228,180.0,top,18.288,46.228,6.63,4.09
IOH0,10x1F-H8.5,1X10,30.226,50.8,180.0,top,30.226,50.8,24.2824,2.1336
IOL0,8x1F-H8.5,1X08,54.61,50.8,180.0,top,54.61,50.8,19.2024,2.1336
JP2,2x2 M - NM,2X02,19.558,41.148,90.0,top,19.558,41.148,4.2164,4.2164
L0,YELLOW,CHIP-LED0805,27.94,42.164,-90.0,top,27.94,42.164,3.3,1.2
L1,BLM21,0805,7.62,45.085,180.0,top,7.62,45.085,3.4,1.0
L2,10uH,0805,39.116,8.128,0.0,top,39.116,8.128,3.4,1.0
